keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
aided	0.000505340596311	0.0000000000	0.0	False
limited	0.000114033320276	0.0000000000	0.0	False
sensing system using commercial	0.0	0.0000000000	2.0	False
inconsistency from different location	0.0	0.0000000000	2.0	False
building wide level	0.00249143870556	0.0000000000	1.58496250072	False
multi-camera cinematographic video conferencing	0.0	0.0000000000	2.0	False
developed a building	0.00249143870556	0.0000000000	1.58496250072	False
circuitry	0.000690449835073	0.0000000000	0.0	False
sleep	0.000550420101627	0.0000000000	0.0	False
addition fcc	0.00166095913704	0.0000000000	1.0	False
develop a method	0.00498287741112	0.0000000000	3.16992500144	False
privacy of location	0.00249143870556	0.0000000000	1.58496250072	False
cellular telephone	0.00166095913704	0.0000000000	1.0	False
consistent in their signal	0.0	0.0000000000	2.0	False
request the nearest gas	0.0	0.0000000000	2.0	False
comparative to another sensor	0.0	0.0000000000	2.0	False
advantage of location-sensing	0.00249143870556	0.0000000000	1.58496250072	False
multimedia streams	0.00166095913704	0.0000000000	1.0	False
fine-grained	0.00108144253894	0.5588235294	0.0	False
rfideas product	0.00166095913704	0.0000000000	1.0	False
analysis the first step	0.0	0.0000000000	2.0	False
features only needed	0.00249143870556	0.0000000000	1.58496250072	False
strength capture	0.00166095913704	0.0000000000	1.0	False
ideal for the air	0.0	0.0000000000	2.0	False
report consistently	0.00166095913704	0.0000000000	1.0	False
indoor location tracking	0.00207134950522	0.0000000000	1.58496250072	False
summarizes	0.000410390368181	0.0000000000	0.0	False
air id could provide	0.0	0.0000000000	2.0	False
desirable	0.000450562258836	0.0000000000	0.0	False
desired	0.000376896983364	0.0000000000	0.0	False
30-40 after revision	0.0	0.0000000000	1.58496250072	False
data.8	0.00083047956852	0.0000000000	0.0	False
review of related work	0.0	0.0000000000	2.0	False
power boost	0.00166095913704	0.0000000000	1.0	False
tagging	0.00281104775145	0.4956521739	0.0	False
modification to the rfideas	0.0	0.0000000000	2.0	False
optimization to this algorithm	0.0	0.0000000000	2.0	False
work standalone	0.00166095913704	0.0000000000	1.0	False
dynamically track people	0.00249143870556	0.0000000000	1.58496250072	False
system we built	0.00249143870556	0.0000000000	1.58496250072	False
data is the addition	0.0	0.0000000000	2.0	False
mems accelerometer	0.00166095913704	0.0000000000	1.0	False
solution	0.000211923483927	0.0000000000	0.0	False
