keyphrase	tfidf	dispersion	cscore	keyword
d	c	c	c	d
m				class
room residences and visitors	0.0	0.0000000000	2.0	False
location determination system	0.00125383998945	0.0000000000	1.58496250072	False
aid the location	0.00238081497925	0.0000000000	1.58496250072	False
techniques to derive	0.00174455303601	0.0000000000	1.58496250072	False
aims at locating users	0.0	0.0000000000	2.0	False
surrounding	0.00047123633447	0.0000000000	0.0	False
target device by finding	0.0	0.0000000000	2.0	False
bluelon bt-002	0.00158720998617	0.0000000000	1.0	False
bluetooth devices relies	0.00238081497925	0.0000000000	1.58496250072	False
entropy	0.00134311644495	0.0000000000	0.0	False
discoverable	0.00697821214403	0.3260869565	0.0	False
types	0.000717739415238	0.5714285714	0.0	False
hien nguyen	0.00131958559213	0.0000000000	1.0	False
rooms of size 4m6m	0.0	0.0000000000	2.0	False
location uncertainty	0.00158720998617	0.0000000000	1.0	False
localized	0.00155013723004	0.4918032787	0.0	False
flannery	0.000330690847756	0.0000000000	0.0	False
room every hour	0.00238081497925	0.0000000000	1.58496250072	False
wireless ethernet	0.000698180992733	0.0000000000	1.0	False
bluetooth dongles	0.00791751355277	0.4225352113	6.0	False
permission to make	0.00117650520608	0.0000000000	1.58496250072	False
summarizes	0.000392168402026	0.0000000000	0.0	False
updated	0.000164628827442	0.0000000000	0.0	False
dynamic	0.000172200393688	0.0000000000	0.0	False
pages	0.000258356205006	0.0000000000	0.0	False
dutch	0.000659792796064	0.0000000000	0.0	False
fresh training fingerprints obtained	0.0	0.0000000000	2.0	False
inflicts low power consumption	0.0	0.0000000000	2.0	False
2nd and 4th	0.00238081497925	0.0000000000	1.58496250072	False
integrate smoothly	0.00158720998617	0.0000000000	1.0	False
wifi technology	0.00105196119809	0.0000000000	1.0	False
affect	9.13682827118e-05	0.0000000000	0.0	False
carried out location estimations	0.0	0.0000000000	2.0	False
helpful comments	0.00158720998617	0.0000000000	1.0	False
snoeck	0.000793604993084	0.0000000000	0.0	False
rest of the paper	0.0	0.0000000000	2.0	False
backend server	0.00158720998617	0.0000000000	1.0	False
include rss	0.00158720998617	0.0000000000	1.0	False
solution direction	0.00158720998617	0.0000000000	1.0	False
requires prior specific permission	0.0	0.0000000000	2.0	False
contextual information to central	0.0	0.0000000000	2.0	False
straight	0.000246652610061	0.0000000000	0.0	False
fhs	0.00131958559213	0.0000000000	0.0	False
